                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7676,                 1.9767,                 3.8885,                 1.3856,                0.51398,                0.14583,                0.05321,                 0.0465,                0.51398,                0.14583,                0.05328,                0.04695,                 0.7472,                0.82624,                 4.6064,                 1.5376,             0.00011838,             0.00011838,             0.00011838
                      2,                0.69223,                 1.2436,                 3.2665,                   1.31,                0.06667,                0.42899,                0.09319,                  0.068,                0.06667,                0.42899,                0.09319,                0.08373,                0.88154,                 0.6425,                 4.3566,                 1.8859,             0.00023268,             0.00023268,             0.00023268
                      3,                0.67173,                 1.1342,                 3.1686,                 1.2755,                0.23778,                0.33333,                0.13635,                0.11622,                0.23778,                0.33333,                0.13635,                0.09854,                0.76303,                 1.8381,                 3.7528,                 1.8429,             0.00034227,             0.00034227,             0.00034227
                      4,                0.72433,                 1.1287,                 3.0388,                 1.3171,                0.24366,                0.43566,                0.15043,                0.11308,                0.24366,                0.43566,                0.15043,                0.13392,                 1.0877,                0.82313,                 4.0511,                 2.2592,             0.00033579,             0.00033579,             0.00033579
                      5,                0.84059,                 1.2635,                 2.9479,                 1.3858,                0.38066,                0.22408,                0.13578,                0.10538,                0.38066,                0.22408,                0.13578,                0.10345,                 1.0503,                 1.5013,                 3.7134,                 2.5484,             0.00033579,             0.00033579,             0.00033579
                      6,                0.72978,                 1.0033,                 2.8373,                 1.3222,                0.25959,                0.22917,                 0.1942,                0.17396,                0.25959,                0.22917,                 0.1942,                0.17921,                0.61175,                0.68572,                 3.7821,                 1.4314,             0.00032873,             0.00032873,             0.00032873
                      7,                0.76234,                 1.0794,                 2.8235,                 1.3317,                0.30373,                0.24845,                0.19254,                0.16186,                0.30373,                0.24845,                0.19254,                0.16878,                0.68393,                0.69093,                 4.2054,                 1.5867,             0.00032166,             0.00032166,             0.00032166
                      8,                0.73334,                 1.0256,                 2.7467,                 1.3476,                0.16814,                0.32323,                0.14341,                0.10773,                0.16814,                0.32323,                0.14341,                0.11982,                0.95663,                0.91041,                 4.2447,                 2.2902,             0.00031459,             0.00031459,             0.00031459
                      9,                0.67386,                0.89806,                  2.618,                 1.2488,                0.12572,                0.29167,                0.11387,                0.09803,                0.12572,                0.29167,                0.11387,                0.10334,                0.79126,                0.66746,                 4.0878,                 1.7804,             0.00030752,             0.00030752,             0.00030752
                     10,                0.71893,                0.94386,                 2.6898,                 1.3133,                0.01893,                0.20667,                0.15151,                0.11764,                0.01893,                0.20667,                0.15151,                0.12808,                0.86231,                0.61184,                 4.1463,                 1.8842,             0.00030045,             0.00030045,             0.00030045
                     11,                0.78184,                 1.0324,                 2.6817,                 1.3262,                0.52339,                  0.125,                0.10913,                0.07661,                0.52339,                  0.125,                0.10955,                0.09428,                 1.1571,                0.63535,                 5.2099,                 2.5397,             0.00029338,             0.00029338,             0.00029338
                     12,                0.73159,                0.95194,                 2.5991,                 1.2821,                0.11952,                0.29167,                0.13221,                0.11581,                0.11952,                0.29167,                0.13221,                0.12312,                0.62563,                0.57923,                 5.5108,                  1.484,             0.00028631,             0.00028631,             0.00028631
                     13,                0.65561,                0.90436,                  2.548,                 1.2113,                0.08735,                0.20833,                0.13007,                0.11372,                0.08735,                0.20833,                0.13024,                0.11855,                0.69426,                0.79638,                 5.4303,                 1.5879,             0.00027925,             0.00027925,             0.00027925
                     14,                0.65122,                0.83318,                  2.483,                 1.2293,                0.01849,                0.31475,                0.10387,                0.09275,                0.01849,                0.31475,                0.10387,                0.09625,                0.66027,                0.69799,                 6.8947,                 1.5739,             0.00027218,             0.00027218,             0.00027218
                     15,                0.60925,                 0.8269,                 2.4181,                 1.2168,                0.07839,                0.33333,                0.09512,                0.08727,                0.07839,                0.33333,                0.09512,                0.09077,                0.63118,                0.51091,                 7.3929,                 1.4748,             0.00026511,             0.00026511,             0.00026511
                     16,                0.59075,                0.80858,                 2.3377,                 1.1784,                0.06782,                0.18432,                0.08889,                 0.0765,                0.06782,                0.18432,                0.08889,                0.08228,                0.63182,                0.53915,                 5.0335,                 1.4352,             0.00025804,             0.00025804,             0.00025804
                     17,                 0.6114,                0.79077,                 2.3403,                  1.215,                0.03869,                0.24645,                0.09113,                0.08146,                0.03869,                0.24645,                0.09113,                 0.0787,                0.51933,                 0.6569,                 5.1159,                 1.3165,             0.00025097,             0.00025097,             0.00025097
                     18,                0.61994,                0.75631,                 2.2661,                 1.2146,                0.08749,                 0.1875,                 0.1037,                0.08467,                0.08749,                 0.1875,                 0.1037,                0.08616,                0.66175,                0.60652,                 4.8246,                 1.4985,              0.0002439,              0.0002439,              0.0002439
